product_id,product_name,description,price,category,supplier_id,created_at,updated_at
213,Creme De Cacao White,"Corros unsp degree of unsp mult fngr, not inc thumb, sqla","€265,58",Gifts & Special Events,213,2023-11-17,2024-06-15
214,Sauce - Hollandaise,Laceration of flexor musc/fasc/tend r idx fngr at wrs/hnd lv,,aaaa,214,2023-07-31,2023-05-08
215,Tomatoes - Grape,"Anterior dislocation of lens, bilateral","€873,52",Food & Drink,215,2024-02-09,2023-01-22
216,Trout Rainbow Whole,"Injury of radial nerve at wrs/hnd lv of right arm, subs","€253,03",aaaa,216,2023-08-13,2024-06-27
217,Nori Sea Weed,"Unspecified adverse effect of drug or medicament, sequela","€808,66",aaaa,217,2023-11-20,2023-01-13
218,Crab - Meat,Nonspecific symptoms peculiar to infancy,"€70,29",vvvv,218,2023-04-06,2023-10-15
219,Potatoes - Mini White 3 Oz,"Nondisp fx of 4th metatarsal bone, unsp ft, 7thG","€753,41",Attractions,219,2023-10-28,2023-01-04
220,"Napkin - Dinner, White","Idiopathic chronic gout, left wrist, without tophus (tophi)","€608,48",aaaa,220,2023-02-04,2023-02-19
221,"Wine - Saint - Bris 2002, Sauv","Pathological fracture in neoplastic disease, unsp ankle","€852,26",Gifts & Special Events,221,2023-05-04,2023-12-28
222,Sprouts Dikon,"Car driver injured in collision w van nontraf, subs","€3,76",Arts & Entertainment,222,2023-05-10,2023-02-06
223,Pork - Side Ribs,"Mtrcy driver injured in collision w unsp mv in traf, sequela",,Gifts & Special Events,223,2023-06-06,2023-11-02
224,"Beef - Roasted, Cooked","Disp fx of med phalanx of r rng fngr, subs for fx w nonunion","€782,03",Gifts & Special Events,224,2023-01-14,2023-06-18
225,Beans - Kidney White,Enterostomy hemorrhage,,Arts & Entertainment,225,2023-06-01,2023-11-23
226,"Wine - Red, Harrow Estates, Cab",Insulin and oral hypoglycemic drugs,"€821,97",Arts & Entertainment,226,2024-05-25,2024-05-18
227,Milk - Chocolate 500ml,Frostbite with tissue necrosis of arm,"€12,68",Gifts & Special Events,227,2023-12-28,2024-04-26
228,Squid - U - 10 Thailand,Unspecified open wound of right hand,"€266,28",aaaa,228,2023-11-07,2024-02-16
229,V8 Splash Strawberry Kiwi,"Displaced intertroch fx r femur, subs for clos fx w malunion","€856,93",vvvv,229,2023-11-30,2023-03-23
230,Cilantro / Coriander - Fresh,Pyemic and septic embolism in childbirth,"€212,48",Arts & Entertainment,230,2024-02-07,2023-07-25
231,Beer - Mcauslan Apricot,"Unsp nondisp fx of 7th cervcal vert, 7thD","€513,08",Attractions,231,2023-10-21,2024-06-04
232,Pepper - Red Thai,"Oth fx head/neck of unsp femr, 7thJ","€629,34",Attractions,232,2024-04-09,2023-06-13
233,"Oil - Food, Lacquer Spray","Oth types of non-hodg lymph, nodes of axilla and upper limb","€366,40",Gifts & Special Events,233,2023-07-08,2023-09-03
234,Wine - Rosso Del Veronese Igt,"War op involving oth fire/hot subst, civilian, sequela","€707,69",aaaa,234,2024-01-19,2024-02-23
235,Wine - Conde De Valdemar,"Unspecified dislocation of left index finger, sequela","€179,39",Arts & Entertainment,235,2023-04-08,2023-01-22
236,Onions - Cippolini,Ulcerative (chronic) proctitis with complications,"€417,19",Attractions,236,2024-02-03,2023-08-30
237,Table Cloth 62x120 White,"Disp fx of lateral condyle of unsp tibia, 7thQ","€552,07",Arts & Entertainment,237,2023-06-02,2023-09-09
238,Tea - Vanilla Chai,"Osteonecrosis due to drugs, unspecified foot","€771,42",aaaa,238,2023-05-05,2023-04-03
239,Cream - 35%,"Nondisp fx of greater trochanter of l femr, 7thF","€202,61",Food & Drink,239,2023-06-10,2023-11-29
240,"Zucchini - Mini, Green",Occ of specl veh mainly used in agriculture inj in trnsp acc,"€58,48",Attractions,240,2023-08-27,2023-07-02
241,"Lemonade - Kiwi, 591 Ml","Full-term prem ROM, onset labor within 24 hours of rupture","€804,53",vvvv,241,2023-11-23,2024-05-06
242,Soup - Base Broth Chix,"Greenstick fracture of shaft of humerus, left arm","€692,53",Gifts & Special Events,242,2024-03-09,2023-01-28
243,"Rice Pilaf, Dry,package","Displ commnt fx shaft of unsp tibia, 7thJ","€781,95",Gifts & Special Events,243,2024-02-04,2023-11-24
244,Longos - Lasagna Veg,"Severe pre-eclampsia, unspecified trimester","€757,07",Gifts & Special Events,244,2023-11-22,2023-09-19
245,Bar Mix - Lime,Tuberculosis of spleen,"€341,84",Attractions,245,2023-06-30,2023-05-04
246,Fennel - Seeds,"Open bite, left elbow, initial encounter","€237,06",vvvv,246,2023-10-10,2023-07-18
247,Halibut - Steaks,"Cystic fibrosis, unspecified",,Arts & Entertainment,247,2023-06-13,2024-05-22
248,Wine - Bouchard La Vignee Pinot,Laceration with foreign body of left buttock,"€470,40",Gifts & Special Events,248,2023-02-28,2024-06-05
249,"Trout - Hot Smkd, Dbl Fillet","Sublux of proximal interphaln joint of unsp finger, init","€319,16",vvvv,249,2024-03-09,2023-09-15
250,"Lamb - Leg, Boneless",Rapidly progr neph synd w diffus mesangial prolif glomrlneph,"€316,61",Gifts & Special Events,250,2024-06-15,2023-12-07
251,Water - Perrier,"Moderate laceration of right kidney, sequela","€340,59",Attractions,251,2023-09-15,2024-05-12
252,Coffee - Decafenated,"Laceration w/o foreign body of oth part of head, subs encntr",,Gifts & Special Events,252,2024-05-05,2023-01-21
253,Wine - Rubyport,"Maternal care for Anti-A sensitization, third tri, fetus 5","€832,50",Attractions,253,2023-01-21,2023-09-07
254,Chicken - Whole Fryers,Human immunodeficiency virus disease compl preg/chldbrth,"€582,99",vvvv,254,2024-06-01,2023-10-31
255,Hummus - Spread,"Other subluxation of unspecified knee, subsequent encounter","€596,56",aaaa,255,2023-08-07,2023-06-10
256,Ostrich - Prime Cut,"Poisoning by cardi-stim glycos/drug simlar act, undet, init","€263,65",Beauty & Fitness,256,2023-12-01,2023-10-03
257,Food Colouring - Orange,"Wedge compression fracture of second thor vertebra, sequela","€890,33",Beauty & Fitness,257,2023-11-10,2024-01-08
258,"Mushroom - Chanterelle, Dry",Fracture of unspecified part of right clavicle,"€889,09",Arts & Entertainment,258,2024-02-06,2023-05-21
259,Shrimp - 31/40,"Ped on sktbrd injured in clsn w nonmtr vehicle nontraf, init","€589,27",Food & Drink,259,2023-10-15,2023-11-24
260,Oil - Pumpkinseed,"Displaced spiral fracture of shaft of radius, right arm","€329,13",Beauty & Fitness,260,2024-06-20,2024-02-02
261,Beets - Golden,"Infection of amputation stump, right upper extremity","€433,15",Beauty & Fitness,261,2023-05-08,2023-01-17
262,Lobster - Tail 6 Oz,"Fracture of unspecified part of body of left mandible, 7thD","€381,48",Arts & Entertainment,262,2023-10-20,2023-01-01
263,Food Colouring - Blue,Nondisplaced fracture of left tibial spine,"€186,37",Gifts & Special Events,263,2024-02-14,2023-11-29
264,Wine - Shiraz Wolf Blass Premium,Arcuate uterus,"€611,24",Attractions,264,2023-01-31,2024-05-02
265,Sobe - Cranberry Grapefruit,"Other specified bursopathies, right ankle and foot","€90,58",Attractions,265,2023-02-12,2023-12-04
266,Appetizer - Mushroom Tart,"Coloboma of optic disc, bilateral","€54,39",Attractions,266,2024-03-16,2024-05-12
267,Crackers - Water,Diabetes insipidus,,Attractions,267,2023-08-03,2023-01-15
268,Goldschalger,"Periprosth fracture around internal prosth r knee jt, init","€742,61",Food & Drink,268,2023-07-04,2023-03-01
269,Squid - U - 10 Thailand,"Torus fx lower end of l humerus, subs for fx w routn heal","€553,56",vvvv,269,2023-02-18,2024-02-18
270,Broom And Brush Rack Black,"Toxic effect of unsp alcohol, undetermined, subs encntr","€425,83",vvvv,270,2023-05-14,2023-02-14
271,Soup - Campbellschix Stew,External constriction of unspecified wrist,"€573,88",Arts & Entertainment,271,2023-01-18,2023-04-16
272,Table Cloth 90x90 White,"Corrosion of first degree of unsp forearm, subs encntr","€277,48",Attractions,272,2024-02-11,2023-03-23
273,Relish,"Other family member, perpetrator of maltreatment and neglect","€817,85",aaaa,273,2024-04-06,2023-10-17
274,Wine - Two Oceans Cabernet,"Unsp athscl nonaut bio bypass of the extremities, left leg","€190,85",Beauty & Fitness,274,2024-01-07,2023-12-27
275,Bread - Sour Sticks With Onion,"Exposure to radon, subsequent encounter","€793,85",aaaa,275,2023-07-24,2024-05-04
276,Dill Weed - Dry,"Poisoning by other topical agents, intentional self-harm","€199,33",aaaa,276,2024-06-07,2023-01-28
277,Chinese Foods - Chicken,"Milt op involving explosion of marine weapons, civilian","€940,46",Beauty & Fitness,277,2024-03-22,2024-06-26
278,"Wine - Saint - Bris 2002, Sauv",Pediculosis and phthiriasis,"€86,11",Beauty & Fitness,278,2024-03-03,2023-05-02
279,Meldea Green Tea Liquor,Spastic hemiplegia affecting left dominant side,"€109,28",Attractions,279,2023-04-15,2024-03-09
280,Lettuce - Arugula,"Nondisp fx of shaft of other metacarpal bone, sequela",,Arts & Entertainment,280,2024-06-03,2024-04-21
281,Bagel - Everything Presliced,"Unsp injury of superfic vn at shldr/up arm, left arm, subs","€82,35",Attractions,281,2024-03-13,2023-06-20
282,Wine - Fontanafredda Barolo,"Laceration of plantar artery of unsp foot, subs encntr","€314,41",Food & Drink,282,2024-04-05,2023-02-18
283,Potatoes - Yukon Gold 5 Oz,"Contusion of other part of small intestine, sequela","€127,16",Gifts & Special Events,283,2023-09-03,2023-12-14
284,Muffin - Mix - Bran And Maple 15l,"Infct of amniotic sac and membrns, unsp, first tri, fetus 1","€920,63",Attractions,284,2024-02-25,2023-02-17
285,Beer - Maudite,"Nondisp seg fx shaft of r tibia, 7thD","€502,95",Food & Drink,285,2023-03-15,2023-05-15
286,Sugar - Brown,"Corros 3rd deg mu sites of shldr/up lmb, ex wrs/hnd, subs","€797,32",Arts & Entertainment,286,2023-06-05,2024-01-21
287,Oranges,Burns of 40-49% of body surface w 20-29% third degree burns,"€353,35",Arts & Entertainment,287,2023-12-02,2023-11-22
288,Tea - Vanilla Chai,Oth traumatic displ spondylolysis of second cervcal vertebra,"€355,06",Food & Drink,288,2023-05-15,2023-03-02
289,Sage Ground Wiberg,Malignant neoplasm of other and unsp male genital organs,"€12,27",Beauty & Fitness,289,2023-06-26,2024-03-01
290,Watercress,"Nondisp fx of med malleolus of l tibia, 7thQ","€659,30",Attractions,290,2024-05-14,2023-03-24
291,"Peas - Pigeon, Dry","Nondisplaced comminuted fracture of right patella, init",,vvvv,291,2023-02-21,2023-12-07
292,Cake Sheet Combo Party Pack,"Non-ABO incompat w delayed hemolytic transfs react, init","€488,85",Beauty & Fitness,292,2023-05-02,2024-02-04
293,Rice - Sushi,"Strain of left quadriceps muscle, fascia and tendon, subs","€478,28",Beauty & Fitness,293,2024-04-26,2024-02-17
294,Daikon Radish,"Nondisp Rolando's fracture, r hand, subs for fx w nonunion","€806,11",vvvv,294,2024-01-05,2024-02-19
295,"Cup - 6oz, Foam",Acute nephritic syndrome with unsp morphologic changes,,Food & Drink,295,2023-03-11,2024-03-15
296,Capers - Ox Eye Daisy,"Adverse effect of other systemic antibiotics, subs encntr",,Food & Drink,296,2023-06-20,2024-06-27
297,Tofu - Soft,"Penetrating wound of orbit w or w/o fb, right eye, init","€567,81",Food & Drink,297,2024-01-19,2023-05-31
298,Island Oasis - Raspberry,"Other anterior subluxation of left hip, subsequent encounter","€999,38",Arts & Entertainment,298,2023-10-15,2023-06-07
299,Flour Dark Rye,"Nondisp fx of body of scapula, unspecified shoulder","€258,32",Food & Drink,299,2023-01-17,2024-01-22
300,"Wine - White, Schroder And Schyl",Blister (nonthermal) of right thumb,"€792,92",aaaa,300,2023-07-01,2024-03-24
301,"Mushroom - Enoki, Dry","Chloasma of left eye, unspecified eyelid and periocular area","€386,51",vvvv,301,2024-03-05,2024-03-04
302,Flour Dark Rye,Malignant melanoma of right ear and external auricular canal,,Gifts & Special Events,302,2023-09-17,2023-12-27
303,Filling - Mince Meat,"Unsp open wound of r little finger w damage to nail, sequela","€653,22",aaaa,303,2024-02-08,2024-05-05
304,Tilapia - Fillets,"Other injury due to other accident to sailboat, sequela","€535,94",vvvv,304,2024-04-05,2023-08-11
305,Myers Planters Punch,"Displ transverse fx shaft of humer, r arm, 7thP","€21,41",vvvv,305,2023-01-02,2023-10-05
306,Water - Spring 1.5lit,"Gonococcal infection of eye, unspecified",,Gifts & Special Events,306,2023-08-05,2023-07-12
307,Chef Hat 20cm,"Unsp fx low end r ulna, 7thN","€716,42",Attractions,307,2023-09-09,2024-01-24
308,Teriyaki Sauce,"Prsn brd/alit pedl cyc inj in clsn w oth pedl cyc, sequela","€960,52",Beauty & Fitness,308,2023-05-04,2023-04-10
309,"Tart Shells - Barquettes, Savory","Displacement of muscle and tendon graft, sequela",,Gifts & Special Events,309,2024-01-21,2024-05-03
310,"Pepper - Chipotle, Canned","Oth comp specific to multiple gest, first trimester, fetus 2","€144,73",Beauty & Fitness,310,2023-07-06,2023-04-11
311,"Red Snapper - Fillet, Skin On","Dislocation of unsp parts of lumbar spine and pelvis, init","€509,81",Gifts & Special Events,311,2023-01-15,2023-01-24
312,"Pepper - Black, Ground",Poisoning by and adverse effect of heroin,"€626,64",aaaa,312,2023-12-07,2023-05-08
313,Spice - Peppercorn Melange,"Oth disp fx of base of 1st MC bone, unsp hand, 7thD","€499,95",Food & Drink,313,2024-02-14,2024-06-09
314,Chocolate Bar - Oh Henry,"Stress fracture, left foot, sequela","€582,63",aaaa,314,2024-01-17,2023-12-27
315,Wine - Malbec Trapiche Reserve,Disorders of lysine and hydroxylysine metabolism,"€802,67",Attractions,315,2024-03-16,2024-05-23
316,Haggis,"Eclampsia complicating pregnancy, unspecified trimester","€108,91",Arts & Entertainment,316,2023-06-05,2023-10-13
317,"Juice - V8, Tomato","Displ transverse fx shaft of r tibia, 7thN","€741,86",aaaa,317,2024-06-15,2023-10-28
318,Wine - Carmenere Casillero Del,"Noninfective disorders of pinna, bilateral","€716,97",Attractions,318,2023-10-02,2023-06-01
319,"Oil - Truffle, White","Unsp car occupant injured in collision w van in traf, subs",,vvvv,319,2023-06-16,2023-01-06
320,Lemon Balm - Fresh,"Nondisp fx of shaft of unsp clavicle, subs for fx w malunion","€93,89",Food & Drink,320,2023-12-25,2023-04-27
321,Pepper - Orange,"Exhaustion due to exposure, sequela","€872,28",Gifts & Special Events,321,2024-03-28,2023-05-23
322,Puree - Kiwi,"Displacement of internal fixation device of left femur, init","€533,30",Beauty & Fitness,322,2024-03-24,2024-02-16
323,"Chicken - Base, Ultimate","Other osteonecrosis, left foot","€268,27",Gifts & Special Events,323,2024-04-27,2024-03-02
324,"Beans - Fava, Canned","Sprain of calcaneofibular ligament of unsp ankle, init",,Attractions,324,2023-04-17,2023-06-19
325,Wine - Prosecco Valdobienne,"Laceration of peroneal artery, left leg, sequela",,aaaa,325,2023-03-31,2024-02-04
326,Cheese - Comte,"Lac w fb of r frnt wl of thorax w/o penet thor cavity, sqla","€676,19",vvvv,326,2023-06-23,2024-01-09
327,Wood Chips - Regular,"Stress fracture, unspecified ankle, init encntr for fracture","€482,76",Beauty & Fitness,327,2023-02-22,2023-05-20
328,Basil - Fresh,Mech compl of balloon (counterpulsation) device,"€163,56",vvvv,328,2023-12-18,2023-12-31
329,Mushroom - King Eryingii,"Bucket-hndl tear of medial mensc, crnt injury, l knee, init","€869,72",vvvv,329,2024-04-05,2023-10-13
330,Sesame Seed,Neoplasm of uncertain behavior of pineal gland,"€630,73",Beauty & Fitness,330,2024-04-06,2023-08-01
331,Beef - Kobe Striploin,"Mech compl of unsp cardiac and vasc devices and implnt, init",,Food & Drink,331,2023-06-22,2024-04-09
332,Tomatoes,"Oth osteopor w crnt path fx, l forearm, 7thG","€245,45",Beauty & Fitness,332,2023-04-19,2023-04-09
333,Muffin - Bran Ind Wrpd,"Toxic effect of lacrimogenic gas, undetermined",,Food & Drink,333,2023-07-14,2024-02-12
334,Ice Cream - Fudge Bars,Complete traumatic amputation of hand at wrist level,"€554,72",Arts & Entertainment,334,2023-03-09,2024-01-24
335,Bagel - 12 Grain Preslice,"Papyraceous fetus, first trimester, fetus 3","€197,03",vvvv,335,2023-12-13,2024-01-10
336,Oven Mitt - 13 Inch,"Disp fx of unsp tibial spine, init for clos fx","€980,41",Gifts & Special Events,336,2024-06-28,2023-07-10
337,Hipnotiq Liquor,Multiple valve diseases,"€448,95",Arts & Entertainment,337,2024-03-27,2023-02-15
338,Emulsifier,Intestinal malabsorption,"€708,31",vvvv,338,2024-03-25,2023-12-01
339,Goldschalger,"Toxic effect of phenol and phenol homologues, undet, init","€312,09",vvvv,339,2023-01-04,2024-05-05
340,Muskox - French Rack,"Displ spiral fx shaft of rad, l arm, 7thH","€422,53",Arts & Entertainment,340,2023-08-11,2023-03-04
341,Lobster - Cooked,"Extremely low birth weight newborn, less than 500 grams","€831,34",Arts & Entertainment,341,2024-05-05,2023-03-06
342,Lamb Leg - Bone - In Nz,"Other retinoschisis and retinal cysts, unspecified eye","€187,52",vvvv,342,2023-06-04,2023-02-03
343,"Cheese - Mozzarella, Shredded","Unsp athscl type of bypass of the extremities, oth extremity","€199,86",Beauty & Fitness,343,2024-05-15,2023-05-24
344,Wine - Coteaux Du Tricastin Ac,"Path fx in oth disease, l shoulder, subs for fx w delay heal","€685,61",Beauty & Fitness,344,2023-09-22,2023-09-23
345,Jicama,"Wedge comprsn fx T5-T6 vertebra, subs for fx w delay heal","€93,47",Beauty & Fitness,345,2023-06-27,2023-10-29
346,Island Oasis - Peach Daiquiri,Other juvenile arthritis,"€429,05",Beauty & Fitness,346,2023-04-17,2024-02-03
347,Chicken - Leg / Back Attach,"Dislocation of tarsometatarsal joint of left foot, sequela",,Food & Drink,347,2023-06-27,2024-06-20
348,Edible Flower - Mixed,"Idiopathic gout, unspecified shoulder","€814,28",Gifts & Special Events,348,2023-04-07,2024-05-16
349,Nantucket - Kiwi Berry Cktl.,"Milt op involving biological weapons, civilian, init","€708,93",aaaa,349,2023-02-01,2023-06-27
350,Lamb - Rack,"Unstable burst fracture of third thoracic vertebra, sequela","€646,74",Attractions,350,2024-01-07,2023-01-28
351,Wine - Barolo Fontanafredda,Pedl cyc pasngr injured in nonclsn trnsp accident nontraf,"€498,69",Attractions,351,2023-10-07,2023-04-14
352,"Roe - Lump Fish, Black","Burn of first degree of chest wall, initial encounter",,vvvv,352,2024-05-07,2023-01-07
353,"Extract - Vanilla,artificial",Varicose veins of left lower extremity w ulcer of unsp site,"€364,30",Arts & Entertainment,353,2024-02-13,2023-11-10
354,Lamb - Whole Head Off,Viral pharyngoconjunctivitis,,Gifts & Special Events,354,2024-02-28,2023-01-31
355,Onions - Red,"Unsp bus occupant injured in clsn w unsp mv nontraf, init","€71,06",Attractions,355,2024-03-21,2023-10-05
356,Calypso - Lemonade,Fall while being carried or supported by other persons,,Food & Drink,356,2023-06-25,2023-02-09
357,"Veal - Inside Round / Top, Lean",Mess hall on military base as place,"€551,11",Arts & Entertainment,357,2023-01-06,2023-02-02
358,Sea Urchin,"Displaced fracture of fifth metatarsal bone, right foot","€510,97",Attractions,358,2023-10-24,2023-05-14
359,"Pepsi - Diet, 355 Ml","Unsp injury of musc/fasc/tend at forearm level, left arm","€791,23",Food & Drink,359,2023-09-22,2023-05-02
360,Bread - Multigrain,"Disp fx of body of scapula, left shoulder, init for clos fx","€282,84",Food & Drink,360,2023-12-31,2023-06-10
361,Quail - Jumbo,Pneumococcal meningitis,"€396,13",Beauty & Fitness,361,2023-03-28,2024-06-21
362,"Soup - Beef Conomme, Dry","Nondisp fx of lateral epicondyl of unsp humer, 7thD","€928,81",Beauty & Fitness,362,2024-02-09,2024-06-10
363,Cheese - Mozzarella,"Long labor, unspecified","€634,73",Food & Drink,363,2023-10-21,2024-05-27
364,The Pop Shoppe - Black Cherry,Varicose veins of other sites,"€604,76",Food & Drink,364,2023-07-04,2023-08-09
365,Olives - Stuffed,"Brown-Sequard syndrome at C1, sequela","€430,79",Food & Drink,365,2024-05-13,2024-01-06
366,"Croissant, Raw - Mini","Complete traumatic amputation at right hip joint, subs","€915,84",aaaa,366,2023-05-07,2023-03-16
367,Pear - Halves,"Malig neoplasm of prph nerves of unsp lower limb, inc hip","€885,32",Beauty & Fitness,367,2024-06-09,2023-12-21
368,Longos - Chicken Cordon Bleu,Contusion of ring finger without damage to nail,"€418,61",Gifts & Special Events,368,2023-09-29,2023-08-26
369,Bar Mix - Lime,"Foreign body granuloma of soft tissue, NEC, right shoulder","€418,01",Food & Drink,369,2023-05-05,2024-06-13
370,Cheese - Cheddarsliced,Nondisplaced transverse fracture of shaft of right radius,"€725,11",Arts & Entertainment,370,2023-11-14,2024-06-27
371,Cheese - Sheep Milk,Fracture of subcondylar process of left mandible,"€328,81",Attractions,371,2023-02-25,2024-01-04
372,Scallops - 20/30,"Displaced spiral fx shaft of radius, left arm, sequela",,Arts & Entertainment,372,2023-07-12,2023-07-25
373,Easy Off Oven Cleaner,"Pnctr w/o fb of abd wall, left lower q w penet perit cav","€998,33",Arts & Entertainment,373,2023-12-09,2023-08-03
374,Wine - Fontanafredda Barolo,"Poisoning by emetics, assault","€900,47",Attractions,374,2024-02-20,2024-02-12
375,Pheasants - Whole,Struck by softball,"€556,81",aaaa,375,2024-02-06,2023-03-23
376,Island Oasis - Cappucino Mix,"Exposure to other nonionizing radiation, subs encntr","€45,51",Attractions,376,2024-06-29,2023-06-01
377,Cake - Dulce De Leche,"Disorder of ligament, left shoulder","€466,11",Attractions,377,2023-05-30,2024-02-20
378,Chip - Potato Dill Pickle,"Fx unsp phalanx of r rng fngr, subs for fx w nonunion",,Gifts & Special Events,378,2023-08-03,2023-10-05
379,Pork Loin Cutlets,"Other injury of adrenal gland, subsequent encounter",,Arts & Entertainment,379,2023-05-23,2023-08-31
380,Pastry - Lemon Danish - Mini,"External constriction of oral cavity, sequela","€341,28",vvvv,380,2023-01-04,2024-01-28
381,"Pepper - Chillies, Crushed","Nondisp fx of shaft of left clavicle, subs for fx w malunion",,Food & Drink,381,2023-08-10,2023-11-15
382,"Jam - Raspberry,jar","Poisoning by oth agents aff the cardiovasc sys, acc, init","€50,80",Arts & Entertainment,382,2024-01-20,2024-01-18
383,"Oregano - Dry, Rubbed","Pnctr w/o foreign body of unsp part of head, sequela",,Food & Drink,383,2023-07-10,2023-09-18
384,Plasticknivesblack,"Mech compl of int fix of bones of foot and toes, init","€149,28",Food & Drink,384,2024-02-18,2023-01-09
385,Russian Prince,"Dislocation of distal end of left ulna, initial encounter","€822,88",vvvv,385,2023-09-11,2024-04-14
386,Beef Ground Medium,Insect bite (nonvenomous) of nose,"€725,43",Food & Drink,386,2024-02-16,2023-01-26
387,Soup - Campbells - Chicken Noodle,"Prsn brd/alit mtrcy injured pick-up truck, pk-up/van, init","€997,74",Gifts & Special Events,387,2024-04-06,2023-02-06
388,Lettuce - Frisee,"Laceration w/o fb of unsp toe w/o damage to nail, init","€334,69",aaaa,388,2023-06-02,2024-03-15
389,Nestea - Iced Tea,"Infantile & juv cortical/lamellar/zonular cataract, unsp eye","€168,78",vvvv,389,2023-03-19,2024-06-16
390,Bread - Calabrese Baguette,"Galeazzi's fx unsp radius, subs for clos fx w delay heal","€552,30",Beauty & Fitness,390,2023-06-07,2024-05-25
391,"Wine - White, Cooking","Burn of second degree of unspecified thigh, subs encntr","€744,65",Beauty & Fitness,391,2024-01-25,2024-02-14
392,Banana,Minor laceration of innominate or subclavian artery,,Attractions,392,2023-11-08,2023-02-11
393,Temperature Recording Station,"Ankylosis, left ankle","€716,11",Food & Drink,393,2024-01-30,2023-10-28
394,Chocolate Liqueur - Godet White,"Drowning and submersion due to sailboat sinking, subs encntr",,Arts & Entertainment,394,2023-04-23,2024-02-29
395,Icecream - Dstk Strw Chseck,"Polymyositis, organ involvement unspecified","€36,34",Beauty & Fitness,395,2024-06-24,2023-02-13
396,Bread - Granary Small Pull,"Oth injury of blood vessel of left index finger, sequela","€453,35",vvvv,396,2024-04-18,2024-05-11
397,Beer - Molson Excel,"Other specified arthritis, right knee","€514,78",Food & Drink,397,2023-07-07,2024-06-15
398,Soup - Campbells Pasta Fagioli,"Other physeal fracture of right metatarsal, 7thB","€507,03",Arts & Entertainment,398,2023-11-04,2023-02-18
399,Pear - Halves,"Foster-Kennedy syndrome, bilateral","€90,83",Food & Drink,399,2023-05-18,2023-02-08
400,"Soup - Knorr, Chicken Noodle","Disp fx of distal phalanx of right thumb, init for opn fx","€429,40",Attractions,400,2024-01-19,2024-02-07
401,Trueblue - Blueberry 12x473ml,Abrasion of oral cavity,"€198,82",Arts & Entertainment,401,2023-11-01,2023-06-26
402,Coffee Decaf Colombian,"Toxic effect of venom of N & S American snake, slf-hrm, sqla","€596,32",aaaa,402,2023-12-16,2023-07-23
403,"Croissant, Raw - Mini","Unsp fx head of unsp femr, 7thH","€995,34",aaaa,403,2023-04-14,2023-06-19
404,Bandage - Fexible 1x3,"Disp fx of med cuneiform of r foot, subs for fx w delay heal","€679,04",Food & Drink,404,2023-03-06,2023-01-12
405,Aspic - Light,"Pnctr w/o foreign body of scrotum and testes, sequela","€719,92",vvvv,405,2024-02-01,2023-01-19
406,"Jam - Strawberry, 20 Ml Jar","Sltr-haris Type III physeal fx upper end of humer, unsp arm","€248,28",Food & Drink,406,2023-11-02,2023-07-01
407,"Wine - White, Riesling, Semi - Dry","Poisoning by amphetamines, accidental, sequela","€380,50",Gifts & Special Events,407,2024-06-23,2023-04-05
408,Beef - Cow Feet Split,"Underdosing of other psychotropic drugs, initial encounter","€836,97",Attractions,408,2023-05-28,2023-09-26
409,Barley - Pearl,Pnctr w/o fb of front wall of thorax w/o penet thor cavity,,Beauty & Fitness,409,2023-09-06,2024-04-04
410,"Sole - Dover, Whole, Fresh","Contus/lac/hem crblm w LOC w dth d/t oth cause bf consc,subs","€513,54",Beauty & Fitness,410,2024-01-22,2023-04-30
411,Glove - Cutting,"Hepatomegaly with splenomegaly, not elsewhere classified",,Gifts & Special Events,411,2023-12-24,2024-06-28
412,Dried Peach,Athscl autologous vein bypass of the extrm w intrmt claud,"€265,71",Arts & Entertainment,412,2024-06-02,2024-06-13
413,Liquid Aminios Acid - Braggs,Di George's syndrome,"€333,76",Beauty & Fitness,413,2023-05-10,2024-02-04
414,Eel Fresh,Vertebral artery compression syndromes,"€187,15",Food & Drink,414,2023-10-31,2024-06-17
415,"Pepper - Julienne, Frozen",Contact with hot toaster,"€995,15",Arts & Entertainment,415,2024-03-02,2023-11-18
416,"Tuna - Canned, Flaked, Light","Retained metal fragments, unspecified","€124,38",Gifts & Special Events,416,2023-08-24,2023-12-21
417,Bread - Crusty Italian Poly,"Acute suppr otitis media w spon rupt ear drum, recur, l ear",,Arts & Entertainment,417,2023-07-14,2023-10-27
418,"Spoon - Soup, Plastic","Paralytic calcification and ossification of muscle, thigh",,Food & Drink,418,2023-09-12,2023-01-11
419,Wine - Magnotta - Pinot Gris Sr,"Unspecified nondisp fx of second cervical vertebra, sequela","€463,68",Arts & Entertainment,419,2023-06-27,2023-04-08
420,Mace,"Passenger of special agri vehicle injured in traf, sequela","€551,11",vvvv,420,2023-01-01,2024-01-16
421,"Sugar - Brown, Individual","Stress fracture, right hand, subs for fx w routn heal","€475,44",Gifts & Special Events,421,2023-02-05,2023-09-11
422,Longos - Chicken Wings,Prolonged stay in weightless environment,"€765,17",aaaa,422,2023-12-08,2023-11-21
423,Icecream - Dibs,Poisoning by and adverse effect of lysergide [LSD],"€69,06",aaaa,423,2023-10-19,2024-02-15
424,Rice - Brown,"Inj musc/fasc/tend at wrs/hnd lv, left hand, sequela","€820,94",Food & Drink,424,2024-02-11,2023-12-14
425,Wine - Barbera Alba Doc 2001,"Maternal care for oth abnlt of gravid uterus, second tri","€554,64",aaaa,425,2023-06-29,2023-08-03
